Country,Region,Hemisphere,HappinessScore,HDI,GDP_PerCapita,Beer_PerCapita,Spirit_PerCapita,Wine_PerCapita
Denmark,Western Europe,north,7526,928,53579,224,81,278
Switzerland,Western Europe,north,7509,943,79866,185,100,280
Iceland,Western Europe,north,7501,933,60530,233,61,78
Norway,Western Europe,north,7498,951,70890,169,71,129
Finland,Western Europe,north,7413,918,43433,263,133,97
Canada,North America,north,7404,922,42349,240,122,100
Netherlands,Western Europe,north,7339,928,45638,251,88,190
New Zealand,Australia and New Zealand,south,7334,915,40332,203,79,175
Australia,Australia and New Zealand,south,7313,938,49897,261,72,212
Sweden,Western Europe,north,7291,932,51845,152,60,186
Israel,Middle East and Northern Africa,north,7267,902,37181,63,69,9
Austria,Western Europe,north,7119,906,44731,279,75,191
United States,North America,north,7104,922,57589,249,158,84
Costa Rica,Latin America and Caribbean,north,7087,791,11733,149,87,11
Germany,Western Europe,north,6994,934,42233,346,117,175
Brazil,Latin America and Caribbean,both,6952,758,8639,245,145,16
Belgium,Western Europe,north,6929,915,41261,295,84,212
Ireland,Western Europe,north,6907,934,64100,313,118,165
Luxembourg,Western Europe,north,6871,904,100739,236,133,271
Mexico,Latin America and Caribbean,north,6778,772,8444,238,68,5
Singapore,Southeastern Asia,north,6739,930,55243,60,12,11
United Kingdom,Western Europe,north,6725,920,40412,219,126,195
Chile,Latin America and Caribbean,south,6705,842,13961,130,124,172
Panama,Latin America and Caribbean,north,6701,785,14333,285,104,18
Argentina,Latin America and Caribbean,south,6650,822,12654,193,25,221
Czech Republic,Central and Eastern Europe,north,6596,885,18484,361,170,134
United Arab Emirates,Middle East and Northern Africa,north,6573,862,38518,16,135,5
Uruguay,Latin America and Caribbean,south,6545,802,15298,115,35,220
Malta,Western Europe,north,6488,875,24771,149,100,120
Colombia,Latin America and Caribbean,both,6481,747,5757,159,76,3
France,Western Europe,north,6478,899,36870,127,151,370
Thailand,Southeastern Asia,north,6474,748,5979,99,258,1
